log,object,object_pose,regeneration,n_raw,after_regeneration,already_admissible,flipped,dead_zone,after_topdown_cone,after_scene_floor_corridor,after_table_gate,after_wall_sweep,outcome
run_demo_jorge.log,black_gloves,P1,on,400,133,0,74,267,128,91,37,37,OK
run_demo_jorge.log,black_gloves,P2,on,400,128,0,79,272,122,99,38,38,OK
run_demo_jorge.log,black_gloves,P3,on,400,131,5,71,269,129,104,34,34,OK
run_demo_jorge.log,black_gloves,P4,on,400,150,0,90,250,142,121,42,42,OK
run_demo_jorge.log,calcetines_nike,P1,on,400,341,1,174,59,253,229,139,139,OK
run_demo_jorge.log,calcetines_nike,P2,on,400,185,8,96,215,185,151,66,66,OK
run_demo_jorge.log,calcetines_nike,P3,on,400,335,3,175,65,321,289,186,186,OK
run_demo_jorge.log,calcetines_nike,P4,on,400,357,20,166,43,256,225,135,135,OK
run_demo_jorge.log,wireless_mouse,P1,on,400,301,0,137,99,289,220,66,66,OK
run_demo_jorge.log,wireless_mouse,P2,off,400,,,,,,,,,OK
run_demo_jorge.log,wireless_mouse,P3,on,400,351,3,161,49,338,313,227,227,OK
run_demo_jorge.log,wireless_mouse,P4,on,400,372,18,188,28,317,289,169,169,OK
run_demo_rapida_0806.log,usb_c_cable,P1,on,400,159,22,79,241,159,152,114,114,OK
run_demo_rapida_0806.log,neceser_versace,P1,on,400,357,53,176,43,342,286,170,170,OK
run_demo_rapida_0806.log,gelatin_box,P2,off,400,,,,,,,,,OK
run_desde_base.log,black_gloves,P1,off,400,,,,,63,7,3,3,PLACE-FAIL
run_desde_base.log,black_gloves,P2,off,400,,,,,53,7,4,4,PICK-FAIL
run_desde_base.log,black_gloves,P3,off,400,,,,,50,24,13,13,PICK-FAIL
run_desde_base.log,black_gloves,P4,off,400,,,,,50,6,4,4,PICK-FAIL
run_embudo_P1.log,black_gloves,P1,off,400,,,,,92,19,9,9,OK
run_embudo_P1_b.log,black_gloves,P1,off,400,,,,,71,8,1,1,PLACE-FAIL
run_esquinas_35.log,brown_gloves,P1,on,400,49,0,22,351,48,5,2,0,PLACE-FAIL
run_esquinas_35.log,brown_gloves,P2,on,400,38,0,17,362,34,5,1,0,PLACE-FAIL
run_esquinas_35.log,brown_gloves,P3,on,400,1,0,0,399,82,0,,,PICK-FAIL
run_esquinas_35.log,brown_gloves,P4,on,400,1,0,1,399,74,0,,,PICK-FAIL
run_esquinas_base.log,brown_gloves,P1,on,400,3,0,0,397,,0,1,1,PICK-FAIL
run_esquinas_base.log,brown_gloves,P2,on,400,20,0,9,380,20,0,,,PICK-FAIL
run_esquinas_base.log,brown_gloves,P3,on,400,1,0,0,399,83,0,,1,PICK-FAIL
