trace,object,discriminator_confidence,survives_box_gates
intento_113814_yellow_trim,yellow_trim,0.0247,0
intento_113814_yellow_trim,yellow_trim,0.3043,0
intento_113814_yellow_trim,yellow_trim,0.0598,0
intento_113814_yellow_trim,yellow_trim,0.0011,0
intento_113814_yellow_trim,yellow_trim,0.3808,0
intento_113814_yellow_trim,yellow_trim,0.1499,0
intento_113814_yellow_trim,yellow_trim,0.3224,0
intento_113814_yellow_trim,yellow_trim,0.1009,0
intento_113814_yellow_trim,yellow_trim,0.1699,0
intento_113814_yellow_trim,yellow_trim,0.0419,0
intento_113814_yellow_trim,yellow_trim,0.3784,0
intento_113814_yellow_trim,yellow_trim,0.0176,0
intento_113814_yellow_trim,yellow_trim,0.2232,0
intento_113814_yellow_trim,yellow_trim,0.301,0
intento_113814_yellow_trim,yellow_trim,0.1958,0
intento_113814_yellow_trim,yellow_trim,0.1995,0
intento_113814_yellow_trim,yellow_trim,0.0,0
intento_113814_yellow_trim,yellow_trim,0.0865,0
intento_113814_yellow_trim,yellow_trim,0.0619,0
intento_113814_yellow_trim,yellow_trim,0.0822,0
intento_113814_yellow_trim,yellow_trim,0.0485,0
intento_113814_yellow_trim,yellow_trim,0.0419,0
intento_113814_yellow_trim,yellow_trim,0.0639,0
intento_113814_yellow_trim,yellow_trim,0.0078,0
intento_113814_yellow_trim,yellow_trim,0.0077,0
intento_113814_yellow_trim,yellow_trim,0.0871,0
intento_113814_yellow_trim,yellow_trim,0.05,0
intento_113814_yellow_trim,yellow_trim,0.0231,0
intento_113814_yellow_trim,yellow_trim,0.0161,0
intento_113814_yellow_trim,yellow_trim,0.0378,0
intento_113814_yellow_trim,yellow_trim,0.0129,0
intento_113814_yellow_trim,yellow_trim,0.2532,1
intento_113814_yellow_trim,yellow_trim,0.0948,0
intento_113814_yellow_trim,yellow_trim,0.0414,0
intento_113814_yellow_trim,yellow_trim,0.061,0
intento_113814_yellow_trim,yellow_trim,0.2502,0
intento_113814_yellow_trim,yellow_trim,0.0064,0
intento_113814_yellow_trim,yellow_trim,0.0247,0
intento_113814_yellow_trim,yellow_trim,0.1123,0
intento_113814_yellow_trim,yellow_trim,0.0856,1
intento_113814_yellow_trim,yellow_trim,0.006,1
intento_113814_yellow_trim,yellow_trim,0.1091,0
intento_113830_yellow_trim,yellow_trim,0.0387,0
intento_113830_yellow_trim,yellow_trim,0.347,1
intento_113830_yellow_trim,yellow_trim,0.0099,0
intento_113830_yellow_trim,yellow_trim,0.2371,0
intento_113830_yellow_trim,yellow_trim,0.0245,0
intento_113830_yellow_trim,yellow_trim,0.3635,0
